City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,WinningTeam,Margin,WonBy,Player_of_Match
Abu Dhabi,10/1/2020,2020/21,13,Mumbai Indians,Kings XI Punjab,Sheikh Zayed Stadium,Kings XI Punjab,field,Mumbai Indians,48,runs,KA Pollard
NA,9/30/2020,2020/21,12,Kolkata Knight Riders,Rajasthan Royals,Dubai International Cricket Stadium,Rajasthan Royals,field,Kolkata Knight Riders,37,runs,Shivam Mavi
Abu Dhabi,11/2/2020,2020/21,55,Royal Challengers Bangalore,Delhi Capitals,Sheikh Zayed Stadium,Delhi Capitals,field,Delhi Capitals,6,wickets,A Nortje
Abu Dhabi,11/1/2020,2020/21,53,Kings XI Punjab,Chennai Super Kings,Sheikh Zayed Stadium,Chennai Super Kings,field,Chennai Super Kings,9,wickets,RD Gaikwad
NA,10/11/2020,2020/21,26,Sunrisers Hyderabad,Rajasthan Royals,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Rajasthan Royals,5,wickets,R Tewatia
Abu Dhabi,9/23/2020,2020/21,5,Mumbai Indians,Kolkata Knight Riders,Sheikh Zayed Stadium,Kolkata Knight Riders,field,Mumbai Indians,49,runs,RG Sharma
NA,10/17/2020,2020/21,34,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,Chennai Super Kings,bat,Delhi Capitals,5,wickets,S Dhawan
NA,9/24/2020,2020/21,6,Kings XI Punjab,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore,field,Kings XI Punjab,97,runs,KL Rahul
Abu Dhabi,10/6/2020,2020/21,20,Mumbai Indians,Rajasthan Royals,Sheikh Zayed Stadium,Mumbai Indians,bat,Mumbai Indians,57,runs,SA Yadav
Abu Dhabi,10/18/2020,2020/21,35,Kolkata Knight Riders,Sunrisers Hyderabad,Sheikh Zayed Stadium,Sunrisers Hyderabad,field,Kolkata Knight Riders,0,tie,LH Ferguson
NA,10/4/2020,2020/21,18,Kings XI Punjab,Chennai Super Kings,Dubai International Cricket Stadium,Kings XI Punjab,bat,Chennai Super Kings,10,wickets,SR Watson
Abu Dhabi,10/3/2020,2020/21,15,Rajasthan Royals,Royal Challengers Bangalore,Sheikh Zayed Stadium,Rajasthan Royals,bat,Royal Challengers Bangalore,8,wickets,YS Chahal
NA,10/3/2020,2020/21,16,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,Kolkata Knight Riders,field,Delhi Capitals,18,runs,SS Iyer
NA,10/2/2020,2020/21,14,Sunrisers Hyderabad,Chennai Super Kings,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,7,runs,PK Garg
NA,10/18/2020,2020/21,36,Mumbai Indians,Kings XI Punjab,Dubai International Cricket Stadium,Mumbai Indians,bat,Kings XI Punjab,0,tie,KL Rahul
NA,10/22/2020,2020/21,40,Rajasthan Royals,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,8,wickets,MK Pandey
NA,10/5/2020,2020/21,19,Delhi Capitals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore,field,Delhi Capitals,59,runs,AR Patel
NA,10/26/2020,2020/21,46,Kolkata Knight Riders,Kings XI Punjab,Sharjah Cricket Stadium,Kings XI Punjab,field,Kings XI Punjab,8,wickets,CH Gayle
NA,10/23/2020,2020/21,41,Chennai Super Kings,Mumbai Indians,Sharjah Cricket Stadium,Mumbai Indians,field,Mumbai Indians,10,wickets,TA Boult
NA,10/17/2020,2020/21,33,Rajasthan Royals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Rajasthan Royals,bat,Royal Challengers Bangalore,7,wickets,AB de Villiers
Abu Dhabi,10/10/2020,2020/21,24,Kolkata Knight Riders,Kings XI Punjab,Sheikh Zayed Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,2,runs,KD Karthik
NA,10/27/2020,2020/21,47,Sunrisers Hyderabad,Delhi Capitals,Dubai International Cricket Stadium,Delhi Capitals,field,Sunrisers Hyderabad,88,runs,WP Saha
NA,10/10/2020,2020/21,25,Royal Challengers Bangalore,Chennai Super Kings,Dubai International Cricket Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,37,runs,V Kohli
Abu Dhabi,10/16/2020,2020/21,32,Kolkata Knight Riders,Mumbai Indians,Sheikh Zayed Stadium,Kolkata Knight Riders,bat,Mumbai Indians,8,wickets,Q de Kock
NA,9/27/2020,2020/21,9,Kings XI Punjab,Rajasthan Royals,Sharjah Cricket Stadium,Rajasthan Royals,field,Rajasthan Royals,4,wickets,SV Samson
NA,10/13/2020,2020/21,29,Chennai Super Kings,Sunrisers Hyderabad,Dubai International Cricket Stadium,Chennai Super Kings,bat,Chennai Super Kings,20,runs,RA Jadeja
Abu Dhabi,10/11/2020,2020/21,27,Delhi Capitals,Mumbai Indians,Sheikh Zayed Stadium,Delhi Capitals,bat,Mumbai Indians,5,wickets,Q de Kock
NA,11/1/2020,2020/21,54,Kolkata Knight Riders,Rajasthan Royals,Dubai International Cricket Stadium,Rajasthan Royals,field,Kolkata Knight Riders,60,runs,PJ Cummins
NA,10/15/2020,2020/21,31,Royal Challengers Bangalore,Kings XI Punjab,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat,Kings XI Punjab,8,wickets,KL Rahul
Abu Dhabi,9/29/2020,2020/21,11,Sunrisers Hyderabad,Delhi Capitals,Sheikh Zayed Stadium,Delhi Capitals,field,Sunrisers Hyderabad,15,runs,Rashid Khan
Abu Dhabi,10/19/2020,2020/21,37,Chennai Super Kings,Rajasthan Royals,Sheikh Zayed Stadium,Chennai Super Kings,bat,Rajasthan Royals,7,wickets,JC Buttler
NA,9/21/2020,2020/21,3,Royal Challengers Bangalore,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunrisers Hyderabad,field,Royal Challengers Bangalore,10,runs,YS Chahal
NA,10/31/2020,2020/21,51,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium,Mumbai Indians,field,Mumbai Indians,9,wickets,Ishan Kishan
NA,10/29/2020,2020/21,49,Kolkata Knight Riders,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,field,Chennai Super Kings,6,wickets,RD Gaikwad
Abu Dhabi,10/30/2020,2020/21,50,Kings XI Punjab,Rajasthan Royals,Sheikh Zayed Stadium,Rajasthan Royals,field,Rajasthan Royals,7,wickets,BA Stokes
NA,10/4/2020,2020/21,17,Mumbai Indians,Sunrisers Hyderabad,Sharjah Cricket Stadium,Mumbai Indians,bat,Mumbai Indians,34,runs,TA Boult
NA,9/25/2020,2020/21,7,Delhi Capitals,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,field,Delhi Capitals,44,runs,PP Shaw
NA,10/12/2020,2020/21,28,Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,82,runs,AB de Villiers
Abu Dhabi,10/25/2020,2020/21,45,Mumbai Indians,Rajasthan Royals,Sheikh Zayed Stadium,Mumbai Indians,bat,Rajasthan Royals,8,wickets,BA Stokes
NA,10/8/2020,2020/21,22,Sunrisers Hyderabad,Kings XI Punjab,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,69,runs,JM Bairstow
NA,10/14/2020,2020/21,30,Delhi Capitals,Rajasthan Royals,Dubai International Cricket Stadium,Delhi Capitals,bat,Delhi Capitals,13,runs,A Nortje
NA,10/25/2020,2020/21,44,Royal Challengers Bangalore,Chennai Super Kings,Dubai International Cricket Stadium,Royal Challengers Bangalore,bat,Chennai Super Kings,8,wickets,RD Gaikwad
Abu Dhabi,9/26/2020,2020/21,8,Sunrisers Hyderabad,Kolkata Knight Riders,Sheikh Zayed Stadium,Sunrisers Hyderabad,bat,Kolkata Knight Riders,7,wickets,Shubman Gill
NA,10/20/2020,2020/21,38,Delhi Capitals,Kings XI Punjab,Dubai International Cricket Stadium,Delhi Capitals,bat,Kings XI Punjab,5,wickets,S Dhawan
NA,9/28/2020,2020/21,10,Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,Mumbai Indians,field,Royal Challengers Bangalore,0,tie,AB de Villiers
NA,11/5/2020,2020/21,Qualifier 1,Mumbai Indians,Delhi Capitals,Dubai International Cricket Stadium,Delhi Capitals,field,Mumbai Indians,57,runs,JJ Bumrah
Abu Dhabi,11/6/2020,2020/21,Eliminator,Royal Challengers Bangalore,Sunrisers Hyderabad,Sheikh Zayed Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,6,wickets,KS Williamson
Abu Dhabi,11/8/2020,2020/21,Qualifier 2,Delhi Capitals,Sunrisers Hyderabad,Sheikh Zayed Stadium,Delhi Capitals,bat,Delhi Capitals,17,runs,MP Stoinis
NA,11/10/2020,2020/21,Final,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium,Delhi Capitals,bat,Mumbai Indians,5,wickets,TA Boult
Chennai,4/9/2021,2021,1,Mumbai Indians,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,field,Royal Challengers Bangalore,2,wickets,HV Patel
Mumbai,4/10/2021,2021,2,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field,Delhi Capitals,7,wickets,S Dhawan
Chennai,4/11/2021,2021,3,Kolkata Knight Riders,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,field,Kolkata Knight Riders,10,runs,N Rana
Mumbai,4/12/2021,2021,4,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field,Punjab Kings,4,runs,SV Samson
Chennai,4/13/2021,2021,5,Mumbai Indians,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field,Mumbai Indians,10,runs,RD Chahar
Chennai,4/14/2021,2021,6,Royal Challengers Bangalore,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,field,Royal Challengers Bangalore,6,runs,GJ Maxwell
Mumbai,4/15/2021,2021,7,Delhi Capitals,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field,Rajasthan Royals,3,wickets,JD Unadkat
Mumbai,4/16/2021,2021,8,Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field,Chennai Super Kings,6,wickets,DL Chahar
Chennai,4/17/2021,2021,9,Mumbai Indians,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,bat,Mumbai Indians,13,runs,KA Pollard
Chennai,4/18/2021,2021,10,Royal Challengers Bangalore,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,38,runs,AB de Villiers
Mumbai,4/18/2021,2021,11,Punjab Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field,Delhi Capitals,6,wickets,S Dhawan
Mumbai,4/19/2021,2021,12,Chennai Super Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field,Chennai Super Kings,45,runs,MM Ali
Chennai,4/20/2021,2021,13,Mumbai Indians,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,bat,Delhi Capitals,6,wickets,A Mishra
Chennai,4/21/2021,2021,14,Punjab Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,bat,Sunrisers Hyderabad,9,wickets,JM Bairstow
Mumbai,4/21/2021,2021,15,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,Chennai Super Kings,18,runs,F du Plessis
Mumbai,4/22/2021,2021,16,Rajasthan Royals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,field,Royal Challengers Bangalore,10,wickets,D Padikkal
Chennai,4/23/2021,2021,17,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,field,Punjab Kings,9,wickets,KL Rahul
Mumbai,4/24/2021,2021,18,Kolkata Knight Riders,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field,Rajasthan Royals,6,wickets,CH Morris
Mumbai,4/25/2021,2021,19,Chennai Super Kings,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Chennai Super Kings,bat,Chennai Super Kings,69,runs,RA Jadeja
Chennai,4/25/2021,2021,20,Delhi Capitals,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,bat,Delhi Capitals,0,tie,PP Shaw
Ahmedabad,4/26/2021,2021,21,Punjab Kings,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,field,Kolkata Knight Riders,5,wickets,EJG Morgan
Ahmedabad,4/27/2021,2021,22,Royal Challengers Bangalore,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,field,Royal Challengers Bangalore,1,runs,AB de Villiers
Delhi,4/28/2021,2021,23,Sunrisers Hyderabad,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,bat,Chennai Super Kings,7,wickets,RD Gaikwad
Delhi,4/29/2021,2021,24,Rajasthan Royals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Mumbai Indians,field,Mumbai Indians,7,wickets,Q de Kock
Ahmedabad,4/29/2021,2021,25,Kolkata Knight Riders,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,field,Delhi Capitals,7,wickets,PP Shaw
Ahmedabad,4/30/2021,2021,26,Punjab Kings,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,field,Punjab Kings,34,runs,Harpreet Brar
Delhi,5/1/2021,2021,27,Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Mumbai Indians,field,Mumbai Indians,4,wickets,KA Pollard
Delhi,5/2/2021,2021,28,Rajasthan Royals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,field,Rajasthan Royals,55,runs,JC Buttler
Ahmedabad,5/2/2021,2021,29,Punjab Kings,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,field,Delhi Capitals,7,wickets,MA Agarwal
Abu Dhabi,9/20/2021,2021,31,Royal Challengers Bangalore,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",Royal Challengers Bangalore,bat,Kolkata Knight Riders,9,wickets,CV Varun
Abu Dhabi,10/8/2021,2021,55,Mumbai Indians,Sunrisers Hyderabad,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,bat,Mumbai Indians,42,runs,Ishan Kishan
Abu Dhabi,10/2/2021,2021,47,Chennai Super Kings,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",Rajasthan Royals,field,Rajasthan Royals,7,wickets,RD Gaikwad
Sharjah,10/3/2021,2021,48,Royal Challengers Bangalore,Punjab Kings,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,6,runs,GJ Maxwell
Sharjah,9/30/2021,2021,44,Sunrisers Hyderabad,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,field,Chennai Super Kings,6,wickets,JR Hazlewood
Sharjah,9/28/2021,2021,41,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,3,wickets,SP Narine
Sharjah,10/5/2021,2021,51,Rajasthan Royals,Mumbai Indians,Sharjah Cricket Stadium,Mumbai Indians,field,Mumbai Indians,8,wickets,NM Coulter-Nile
Dubai,10/7/2021,2021,53,Chennai Super Kings,Punjab Kings,Dubai International Cricket Stadium,Punjab Kings,field,Punjab Kings,6,wickets,KL Rahul
Abu Dhabi,10/6/2021,2021,52,Sunrisers Hyderabad,Royal Challengers Bangalore,"Zayed Cricket Stadium, Abu Dhabi",Royal Challengers Bangalore,field,Sunrisers Hyderabad,4,runs,KS Williamson
Abu Dhabi,9/23/2021,2021,34,Mumbai Indians,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders,field,Kolkata Knight Riders,7,wickets,SP Narine
Abu Dhabi,9/25/2021,2021,36,Delhi Capitals,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",Rajasthan Royals,field,Delhi Capitals,33,runs,SS Iyer
Abu Dhabi,9/26/2021,2021,38,Kolkata Knight Riders,Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders,bat,Chennai Super Kings,2,wickets,RA Jadeja
Abu Dhabi,9/28/2021,2021,42,Punjab Kings,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,field,Mumbai Indians,6,wickets,KA Pollard
Dubai,9/27/2021,2021,40,Rajasthan Royals,Sunrisers Hyderabad,Dubai International Cricket Stadium,Rajasthan Royals,bat,Sunrisers Hyderabad,7,wickets,JJ Roy
Dubai,10/8/2021,2021,56,Delhi Capitals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,7,wickets,KS Bharat
Dubai,10/1/2021,2021,45,Kolkata Knight Riders,Punjab Kings,Dubai International Cricket Stadium,Punjab Kings,field,Punjab Kings,5,wickets,KL Rahul
Dubai,9/29/2021,2021,43,Rajasthan Royals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,7,wickets,YS Chahal
Dubai,9/19/2021,2021,30,Chennai Super Kings,Mumbai Indians,Dubai International Cricket Stadium,Chennai Super Kings,bat,Chennai Super Kings,20,runs,RD Gaikwad
Dubai,9/22/2021,2021,33,Sunrisers Hyderabad,Delhi Capitals,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Delhi Capitals,8,wickets,A Nortje
Sharjah,10/7/2021,2021,54,Kolkata Knight Riders,Rajasthan Royals,Sharjah Cricket Stadium,Rajasthan Royals,field,Kolkata Knight Riders,86,runs,Shivam Mavi
Sharjah,9/25/2021,2021,37,Punjab Kings,Sunrisers Hyderabad,Sharjah Cricket Stadium,Sunrisers Hyderabad,field,Punjab Kings,5,runs,JO Holder
Dubai,9/26/2021,2021,39,Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,Mumbai Indians,field,Royal Challengers Bangalore,54,runs,GJ Maxwell
Dubai,10/3/2021,2021,49,Sunrisers Hyderabad,Kolkata Knight Riders,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Kolkata Knight Riders,6,wickets,Shubman Gill
Dubai,10/4/2021,2021,50,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,Delhi Capitals,field,Delhi Capitals,3,wickets,AR Patel
Dubai,9/21/2021,2021,32,Rajasthan Royals,Punjab Kings,Dubai International Cricket Stadium,Punjab Kings,field,Rajasthan Royals,2,runs,Kartik Tyagi
Sharjah,10/2/2021,2021,46,Mumbai Indians,Delhi Capitals,Sharjah Cricket Stadium,Delhi Capitals,field,Delhi Capitals,4,wickets,AR Patel
Sharjah,9/24/2021,2021,35,Royal Challengers Bangalore,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,field,Chennai Super Kings,6,wickets,DJ Bravo
Dubai,10/10/2021,2021,Qualifier 1,Delhi Capitals,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,field,Chennai Super Kings,4,wickets,RD Gaikwad
Sharjah,10/11/2021,2021,Eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat,Kolkata Knight Riders,4,wickets,SP Narine
Sharjah,10/13/2021,2021,Qualifier 2,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,3,wickets,VR Iyer
Dubai,10/15/2021,2021,Final,Chennai Super Kings,Kolkata Knight Riders,Dubai International Cricket Stadium,Kolkata Knight Riders,field,Chennai Super Kings,27,runs,F du Plessis
Mumbai,3/26/2022,2022,1,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,Kolkata Knight Riders,6,wickets,UT Yadav
Mumbai,3/27/2022,2022,2,Mumbai Indians,Delhi Capitals,"Brabourne Stadium, Mumbai",Delhi Capitals,field,Delhi Capitals,4,wickets,Kuldeep Yadav
Mumbai,3/27/2022,2022,3,Royal Challengers Bangalore,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,field,Punjab Kings,5,wickets,OF Smith
Mumbai,3/28/2022,2022,4,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans,field,Gujarat Titans,5,wickets,Mohammed Shami
Pune,3/29/2022,2022,5,Rajasthan Royals,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,field,Rajasthan Royals,61,runs,SV Samson
Mumbai,3/30/2022,2022,6,Kolkata Knight Riders,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,field,Royal Challengers Bangalore,3,wickets,PWH de Silva
Mumbai,3/31/2022,2022,7,Chennai Super Kings,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Lucknow Super Giants,field,Lucknow Super Giants,6,wickets,E Lewis
Mumbai,4/1/2022,2022,8,Punjab Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,Kolkata Knight Riders,6,wickets,UT Yadav
Mumbai,4/2/2022,2022,9,Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,field,Rajasthan Royals,23,runs,JC Buttler
